URL,Content,Chunk Number
https://help.officely.ai/en/articles/9636315-flow-builder-tips,"💡Flow Builder Tips | Officely AI Help Center Copyright (c) 2023, Intercom, Inc. ( [email protected] ) with Reserved Font Name ""Poppins"". This Font Software is licensed under the SIL Open Font License, Version 1.1. Skip to main content English ; English English ; English Table of contents All Collections Good to Know 💡Flow Builder Tips 💡Flow Builder Tips Written by Officely AI Updated over 4 months ago Table of contents Reset flow (WhatsApp) Typing ##reset will reset your flow in case you encounter a problem. Relevant to WhatsApp channel only Hashtag use Hashtag in the flow: if you use ""@"" - the meaning its tag variable from the current flow if you use ""#"" - the meaning its tag variable from API or from variable section. Clear browsing data If you've made many changes and something isn't displaying correctly, try clearing your browser cache as it may be a caching issue. Did this answer your question? 😞 😐 😃 Officely AI Help Center",1
https://help.officely.ai/en/collections/9934790-flow-builder,"Flow Builder | Officely AI Help Center Copyright (c) 2023, Intercom, Inc. ( [email protected] ) with Reserved Font Name ""Poppins"". This Font Software is licensed under the SIL Open Font License, Version 1.1. Skip to main content English ; English English ; English All Collections Flow Builder Flow Builder By Officely 1 author 21 articles Flow 🎬 Start Message 💬 Text Question 🗂 Send Media 🔢 Single Select 📨 Email 📎 Get Media 📅 Date 📍 Get Location 🏡 Send Location 🏁 End Tools 🔑 Key Words ↩️ Jump 🙋‍♂️Notification 🔀 Filter Webhook, HTTP and Catch Hook ♺ Catch Hook 🌐 HTTP Make.com Zapier WhatsApp Nodes WhatsApp Buttons , List and Template Preview and Publish Flow Builder Preview Flow Builder Publish Chat Builder Officely AI Help Center",1
https://help.officely.ai/en/articles/9636267-date,"📅 Date | Officely AI Help Center Copyright (c) 2023, Intercom, Inc. ( [email protected] ) with Reserved Font Name ""Poppins"". This Font Software is licensed under the SIL Open Font License, Version 1.1. Skip to main content English ; English English ; English All Collections Flow Builder Flow 📅 Date 📅 Date Written by Officely AI Updated over 4 months ago With the date verification feature, you can ask customers to specify a certain date and then verify it, even if it is written in different formats. For example: 20/12/2022 02/12/2022 20/12/22 20.12.22 Currently, there is no verification for time, and the date comes in DD/MM/YYYY format only. you can use Node Filter for more options Did this answer your question? 😞 😐 😃 Officely AI Help Center",1
https://help.officely.ai/en/#main-content,"Officely AI Help Center Copyright (c) 2023, Intercom, Inc. ( [email protected] ) with Reserved Font Name ""Poppins"". This Font Software is licensed under the SIL Open Font License, Version 1.1. Skip to main content English ; English English ; English Advice and answers from the Officely AI Team AI Agent Collections organize your articles so people can find them more easily By Officely 1 author 3 articles Flow Builder By Officely 1 author 21 articles Team Builder - Enterprise By Officely 1 author 2 articles Channels By Officely 1 author 3 articles Good to Know By Officely 1 author 2 articles Officely AI Help Center",1
https://help.officely.ai/en/collections/9935968-team-builder-enterprise,"Team Builder - Enterprise | Officely AI Help Center Copyright (c) 2023, Intercom, Inc. ( [email protected] ) with Reserved Font Name ""Poppins"". This Font Software is licensed under the SIL Open Font License, Version 1.1. Skip to main content English ; English English ; English All Collections Team Builder - Enterprise Team Builder - Enterprise By Officely 1 author 2 articles Team AI Flow Builder API for Team Builder Officely AI Help Center",1
https://help.officely.ai/en/articles/9636274-key-words,"🔑 Key Words | Officely AI Help Center Copyright (c) 2023, Intercom, Inc. ( [email protected] ) with Reserved Font Name ""Poppins"". This Font Software is licensed under the SIL Open Font License, Version 1.1. Skip to main content English ; English English ; English All Collections Flow Builder Tools 🔑 Key Words 🔑 Key Words Written by Officely AI Updated over 4 months ago Power key words allow you to decide on trigger words that will be available throughout the entire flow. For example: remove delete human representative... We can make these words available throughout the entire flow, enabling your customers to have quick navigation using specific keywords. ​ Did this answer your question? 😞 😐 😃 Officely AI Help Center",1
https://help.officely.ai/en/articles/9636308-account-and-subscriptions,"Account and Subscriptions | Officely AI Help Center Copyright (c) 2023, Intercom, Inc. ( [email protected] ) with Reserved Font Name ""Poppins"". This Font Software is licensed under the SIL Open Font License, Version 1.1. Skip to main content English ; English English ; English Table of contents All Collections Good to Know Account and Subscriptions Account and Subscriptions Written by Officely AI Updated over 4 months ago Table of contents Where can i see my invoice? Go to subscriptions -> My portal -> Invoices In order to find the invoice from us - type in the search line in the email Officely invoice Update Payment Card Easily! In the Pricing tab, you can click on 'Update Card' to update. ⛔︎ How do you stop the service? We're sorry to hear about your decision 😥 In any case... At any time, you can change your package to 'Free' in the system under Pricing - Cancel Plan. Payments that have already been charged are non-refundable. ​ Did this answer your question? 😞 😐 😃 Officely AI Help Center",1
https://help.officely.ai/en/articles/9625749-how-do-you-connect-the-agent-to-whatsapp,"How do you connect the agent to WhatsApp? | Officely AI Help Center Copyright (c) 2023, Intercom, Inc. ( [email protected] ) with Reserved Font Name ""Poppins"". This Font Software is licensed under the SIL Open Font License, Version 1.1. Skip to main content English ; English English ; English All Collections AI Agent How do you connect the agent to WhatsApp? How do you connect the agent to WhatsApp? Connect your AI Agent to WhatsApp Channel Written by Officely AI Updated over 4 months ago The first step is to connect the agent to WhatsApp, enter our flow builder and add the AI Agent Node to the flow. ​ Then click on Publish Choose WhatsApp Provider: Done! Send a message to the WhatsApp number you connected, and it should be answered by the AI. Did this answer your question? 😞 😐 😃 Officely AI Help Center",1
https://help.officely.ai/en/collections/9899721-channels,"Channels | Officely AI Help Center Copyright (c) 2023, Intercom, Inc. ( [email protected] ) with Reserved Font Name ""Poppins"". This Font Software is licensed under the SIL Open Font License, Version 1.1. Skip to main content English ; English English ; English All Collections Channels Channels By Officely 1 author 3 articles ✅ Meta - WhatsApp Cloud API ☑️ WhatsApp Green API 🆉 Zendesk Workspace App Officely AI Help Center",1
https://help.officely.ai/en/articles/9636271-send-location,"🏡 Send Location | Officely AI Help Center Copyright (c) 2023, Intercom, Inc. ( [email protected] ) with Reserved Font Name ""Poppins"". This Font Software is licensed under the SIL Open Font License, Version 1.1. Skip to main content English ; English English ; English All Collections Flow Builder Flow 🏡 Send Location 🏡 Send Location Written by Officely AI Updated over 4 months ago To send an address using longitude and latitude : Description : Our office ​ Longitude: 32.0872313 ​ Latitude: 34.8194444 You can use a website like https://www.latlong.net to verify the coordinates. Did this answer your question? 😞 😐 😃 Officely AI Help Center",1
